Open,Close.Last
23563.84,23406.46
23407.72,23468.3
23354.85,23527.17
22892.92,23004.54
23461.29,23053.99
23358.07,23499.8
23458.21,23348.64
23951.91,23834.72
23941.78,23724.96
23793.08,23581.14
23987.29,23958.47
23766.46,23827.49
23537.32,23637.46
23143.23,23204.87
22751.33,22941.8
22940.79,22740.4
22984.55,22953.67
22844.82,22990.54
22489.81,22679.97
22764.4,22562.54
22738.5,22670.08
22388.04,22521.7
22578.67,22694.61
23043.52,22204.43
23045.33,23024.63
22852.32,23043.38
22972.37,22788.36
22894.35,22941.67
22886.16,22780.51
22885.9,22844.05
22530.95,22755.16
22580.36,22660.01
22605.3,22591.15
22403.27,22484.07
22318.77,22384.7
22656.02,22497.85
22782.72,22573.47
22606.59,22788.98
22554.32,22631.48
22439.11,22470.73
22333.02,22261.33
22397.5,22333.96
22243.2,22348.75
22078.63,22141.1
21977.51,22043.07
21980.6,21886.06
21858.17,21879.49
21806.22,21798.7
21860.44,21700.39
21539.91,21707.69
21461.63,21497.73
21086.58,21279.63
21630.33,21455.55
21619.27,21705.16
21526.33,21590.14
21443.63,21544.27
21466.47,21449.29
21139.83,21496.53
21112.52,21100.31
21269.67,21172.86
21607.45,21314.95
21616.82,21629.77
21709.34,21622.98
21649.21,21710.67
21764.55,21713.14
21507.44,21681.9
21459.65,21385.4
21316.37,21450.02
21325.01,21242.7
20955.22,21169.42
21092.1,20916.55
20853.91,21053.58
20830.64,20650.13
21457.48,21122.45
21140.4,21129.67
21286.73,21098.29
21176.4,21178.58
21059.94,21108.32
21083.82,21057.96
20966.47,21020.02
20982.21,20892.68
20960.33,20974.17
20959.57,20895.66
20760.32,20885.65
20717.81,20730.49
20822.76,20677.8
20592.56,20640.33
20562.88,20585.53
20636.48,20630.66
20522.09,20611.34
20466.93,20418.46
20490.55,20412.52
20497.66,20601.1
20184.37,20393.13
20290.61,20202.89
20360.15,20369.73
20217.26,20273.46
20062.19,20167.91
20013.95,19973.55
19809.61,19912.53
19427.01,19630.97
19639.41,19447.41
19526.92,19546.27
19627.08,19521.09
19550.75,19701.21
19450.92,19406.83
19578.87,19662.48
19779.35,19615.88
19620.11,19714.99
19573.14,19591.24
19526.99,19529.95
19518.2,19298.45
19434.94,19460.49
19288.66,19398.96
19063.06,19242.61
19131.22,19113.77
19389.39,19175.87
19232.62,19100.94
19014.44,19199.16
18622.38,18737.21
18888.05,18925.73
19002.94,18872.64
19132.06,19142.71
18937.42,19215.46
19151.54,19211.1
19031.24,19112.32
19074.72,19146.81
18761.23,19010.08
18674.55,18708.34
18022.55,17928.92
17920.15,17928.14
17706.83,17738.16
17623.21,17689.66
17817.01,17844.24
17868.76,17977.73
17793.14,17710.74
17099.98,17446.34
17270.76,17461.32
17390.93,17366.13
17182.11,17382.94
16754.76,17166.04
16880.29,16708.05
16079.94,16300.42
16052.76,15870.9
16399.97,16286.45
16499.69,16307.16
16842.39,16823.17
17120.44,16831.48
16358.53,16724.46
16635.45,16387.31
15295.44,17124.97
16181.04,15267.91
14978.03,15603.26
16045.6,15587.79
16790.53,16550.61
17207.01,17601.05
17221.55,17449.89
17045.44,17299.29
17722.09,17322.99
17811.24,17804.03
18217.33,17899.01
18207.97,18271.86
18046.18,18188.59
17519.84,17784.05
17586.06,17691.63
17590.12,17750.79
17662.57,17504.12
17722.55,17808.66
17523.3,17754.09
17598.56,17303.01
17711.41,17648.45
17443.09,17436.1
17840.32,17468.32
18029.85,18196.22
18204.53,18069.26
18312.97,18552.73
18176.43,18285.16
18923.36,18350.19
18477.17,18847.28
19212.36,18544.42
19109.32,19075.26
19242.61,19026.39
19590.85,19286.92
20006.69,19524.01
20029.19,19962.36
19994.5,20056.25
20090.55,20041.26
19956.82,20026.77
19696.92,19945.64
19436.51,19649.95
19602.11,19643.86
19668.18,19714.27
19774.87,19523.4
19725.83,19791.99
19533.05,19692.33
19422.17,19654.01
19215.37,19391.96
19832.33,19627.44
19697.52,19681.75
19695.68,19632.32
19418.22,19733.59
19234.04,19341.83
20087.1,19954.3
19906.99,20053.68
19903.05,20009.34
19734.39,19756.78
19655.55,19630.2
19573.87,19338.29
19350.31,19511.23
19207.75,19044.39
18903.66,19088.1
19312.26,19161.63
19469.36,19478.88
19938.08,19489.68
19851.99,19864.98
19395.51,19621.68
19403.9,19280.79
19551.36,19310.79
19460.41,19486.78
19896.77,19722.03
19979.25,20020.36
19818.48,20031.13
19641.05,19764.89
19190.04,19572.6
19565.66,19372.77
20114.98,19392.69
20095.62,20109.06
20016.12,20173.89
19995.18,19926.72
19947.34,19902.84
19832.96,20034.89
19796.39,19687.24
19824.09,19736.69
19743.96,19859.77
19756.4,19700.72
19587.48,19735.12
19364.34,19480.91
19255.42,19403.95
19087.47,19218.17
19132.99,19060.48
19109.08,19175.58
19140.59,19054.83
18966.32,19003.65
19072.78,18972.42
18971.31,18966.14
18699.7,18987.47
18717.93,18791.81
18929.92,18680.12
19256.09,19107.65
19286.46,19230.73
19289.81,19281.4
19355.34,19298.76
19255.14,19286.78
19084.43,19269.46
18772.76,18983.47
18250.71,18439.17
18220.43,18179.98
18189.67,18239.92
18427.31,18095.15
18731.69,18607.93
18576.09,18712.75
18648.25,18567.19
18512.58,18518.61
18384.15,18415.49
18502.06,18276.65
18451.86,18573.13
18456.48,18540
18466,18489.55
18537.21,18373.61
18333.29,18367.08
18515.97,18315.59
18426.66,18502.69
18217.73,18342.94
18200.62,18282.05
18179.22,18291.62
18017.93,18182.92
18080.11,17923.9
18130.42,18137.85
17859.49,17918.48
17867.12,17925.12
18154.94,17910.36
18069.83,18189.17
18228.78,18119.59
18327.34,18190.29
18050.36,18082.21
18046.44,18074.52
17994.91,17974.27
17999.35,17948.32
17980.89,18013.98
17663.38,17573.3
17707.02,17628.06
17573.7,17592.13
17575.26,17683.98
17413.89,17569.68
17061.41,17395.53
17025.49,17025.88
16835.67,16884.6
17137.62,16690.83
17063.24,17127.66
17015.71,17084.3
17585.45,17136.3
17650.49,17713.62
17610.57,17516.43
17738.8,17556.03
17655.52,17754.82
17867.85,17725.76
17772.73,17877.79
17993.72,17619.35
17840.51,17918.99
17849.09,17816.94
17649.74,17876.77
17516.4,17631.72
17394.55,17594.5
17227.64,17192.6
16944.74,17187.61
16793.64,16780.61
16636.52,16745.3
16408.27,16660.02
16622.31,16195.81
16261.36,16366.85
15712.53,16200.08
16780.45,16776.16
17647.03,17194.15
17499.23,17599.4
17424.1,17147.42
17444.39,17370.2
17331.95,17357.88
17352.64,17181.72
17733.91,17342.41
17982.74,17997.35
17923.65,18007.57
17835.59,17726.94
18119.15,17871.22
18188.19,17996.92
18534.27,18509.34
18485.91,18472.57
18303.64,18398.45
18659.25,18283.41
18512.09,18647.45
18465.02,18429.29
18371.86,18403.74
18200.6,18352.76
18016.12,18188.3
17808.04,18028.76
17773.9,17879.3
17891.1,17732.6
17793.95,17858.68
17697.26,17805.16
17572.16,17717.65
17640.26,17496.82
17681.01,17689.36
17913.94,17721.59
17856.76,17862.23
17697.3,17857.02
17621.18,17688.88
17715.26,17667.56
17502.15,17608.44
17160.42,17343.55
17083.45,17192.53
17124.14,17133.13
17204.87,17173.12
16974.48,17187.9
16823.88,16857.05
16865.7,16828.67
16771.9,16735.02
16878.63,16737.08
16879.35,16920.58
16988.31,17019.88
16786.79,16920.79
16996.39,16736.03
16839.02,16801.54
16736.1,16832.62
16702.02,16794.87
16708.49,16685.97
16738.11,16698.32
16601.14,16742.39
16391.16,16511.18
16400.31,16388.24
16389.02,16340.87
16323.74,16346.26
16226.07,16302.76
16358.34,16332.56
16208.54,16349.25
16147.48,16156.33
15758.11,15840.96
15646.09,15605.48
15920.89,15657.82
16007,15983.08
15821.34,15927.9
15375.26,15611.76
15805.6,15712.75
15525.55,15696.64
15396.13,15451.31
15547.1,15282.01
15705.69,15601.5
15942.29,15683.37
15856.38,15865.25
16276.47,15885.02
16293.03,16175.09
16236.2,16442.2
16104.01,16170.36
16328.76,16306.64
16285.18,16253.96
16095.4,16248.52
16418.57,16049.08
16178.8,16277.46
16199.24,16240.45
16397.05,16396.83
16377.23,16379.46
16424.76,16399.52
16446.85,16315.7
16335.3,16384.47
16387.83,16428.82
16517.24,16401.84
16185.76,16369.41
16031.93,16166.79
16154.92,16103.45
16043.58,15973.17
16209.19,16128.53
16220.11,16177.77
16116.98,16265.64
16052.63,16019.27
16322.1,16085.11
16147.32,16273.38
16092,16031.54
16077.74,15939.59
16264.21,16207.51
16109.83,16274.94
16059.34,16091.92
15969.14,15947.74
16013.98,16035.3
16014.45,15976.25
16094.8,15996.82
15904.48,16041.62
15532.12,15580.87
15679.84,15630.78
15910.43,15775.65
15865.3,15906.17
15781.71,15859.15
15598.88,15655.6
15980.62,15942.55
15842.38,15990.66
15762.23,15793.71
15690.35,15756.64
15638.19,15609
15613.99,15597.68
15403.16,15628.95
15254.02,15361.64
15324.19,15164.01
15628.04,15509.9
15470.66,15628.04
15474.85,15455.36
15555.62,15510.5
15560.61,15481.92
15391.41,15425.94
15393.05,15360.29
15122.38,15310.97
14994.52,15055.65
14814.77,14855.62
14908.26,14944.35
15001.01,14972.76
15020.95,14970.18
14877.7,14969.65
14744.13,14857.71
14564.47,14843.77
14500.11,14524.07
